faire 4758305,VERB,HAS_EXAMPLE
aussi 4276676,ADVERB,HAS_EXAMPLE
temps 3399032,NOUN,HAS_EXAMPLE
autre 2957346,ADJECTIVE,HAS_EXAMPLE
homme 2429097,NOUN,HAS_EXAMPLE
avoir 2696459,NOUN
alors 2409104,ADVERB
moins 2246342,ADVERB,HAS_EXAMPLE
monde 2129902,ADJECTIVE
ainsi 1981683,ADVERB,HAS_EXAMPLE
chose 1605162,NOUN
femme 1570736,NOUN
petit 1561395,ADJECTIVE,HAS_EXAMPLE
grand 1559766,ADJECTIVE,HAS_EXAMPLE
corps 1389687,NOUN
place 1359744,NOUN
point 1378243,ADVERB,HAS_EXAMPLE
droit 1302287,ADJECTIVE,HAS_EXAMPLE
jeune 1242117,ADJECTIVE,HAS_EXAMPLE
effet 1172514,NOUN
porte 1133314,NOUN
ville 1051451,NOUN
toute 981295,ADVERB
façon 964108,NOUN,HAS_EXAMPLE
fille 947972,NOUN,HAS_EXAMPLE
aller 943500,NOUN,HAS_EXAMPLE
seule 935307,ADJECTIVE
mieux 951331,ADVERB,HAS_EXAMPLE
assez 903328,ADVERB,HAS_EXAMPLE
bonne 871167,ADJECTIVE
heure 858827,NOUN,HAS_EXAMPLE
amour 831793,NOUN
terre 815759,NOUN
forme 814227,NOUN
doute 798856,NOUN,HAS_EXAMPLE
peine 773037,NOUN
suite 768804,NOUN
enfin 721611,ADVERB,HAS_EXAMPLE
cause 707116,NOUN
force 656494,ADJECTIVE
année 645757,NOUN
ordre 645403,NOUN,HAS_EXAMPLE
sujet 681448,ADJECTIVE,HAS_EXAMPLE
reste 619316,NOUN,HAS_EXAMPLE
début 597098,NOUN
mêmes 595289,ADJECTIVE
belle 584219,ADJECTIVE
table 582035,NOUN,HAS_EXAMPLE
livre 568848,NOUN
salle 562854,NOUN,HAS_EXAMPLE
matin 561462,NOUN
donne 549915,NOUN,HAS_EXAMPLE
route 548717,NOUN
pièce 546070,NOUN,HAS_EXAMPLE
sorte 539664,NOUN
passe 564935,NOUN
objet 562639,NOUN
choix 536414,NOUN,HAS_EXAMPLE
