encore 3291215,ADVERB,HAS_EXAMPLE
jamais 2231658,ADVERB,HAS_EXAMPLE
moment 1634728,NOUN,HAS_EXAMPLE
autres 1886756,ADJECTIVE
toutes 1394831,ADVERB
partie 1231969,NOUN,HAS_EXAMPLE
grande 1205440,ADJECTIVE
regard 1193304,NOUN,HAS_EXAMPLE
maison 1131135,ADJECTIVE,HAS_EXAMPLE
petite 1086196,ADJECTIVE
besoin 1062854,NOUN
raison 1013821,NOUN
partir 905947,VERB,HAS_EXAMPLE
esprit 901804,NOUN
autant 886741,ADVERB,HAS_EXAMPLE
savoir 885960,NOUN
parler 880154,NOUN
siècle 859762,NOUN,HAS_EXAMPLE
visage 864146,NOUN
enfant 821172,NOUN,HAS_EXAMPLE
passer 779142,VERB,HAS_EXAMPLE
compte 751452,NOUN
plutôt 737225,ADVERB,HAS_EXAMPLE
nombre 734836,NOUN
donner 723315,VERB
nature 709485,ADJECTIVE,HAS_EXAMPLE
guerre 696475,NOUN,HAS_EXAMPLE
propre 682222,ADJECTIVE,HAS_EXAMPLE
milieu 637356,NOUN
époque 600590,ADJECTIVE
simple 591503,ADJECTIVE,HAS_EXAMPLE
groupe 566356,NOUN
action 560701,NOUN,HAS_EXAMPLE
grands 560598,ADJECTIVE
mesure 555022,NOUN
niveau 537818,NOUN,HAS_EXAMPLE
chemin 527633,NOUN,HAS_EXAMPLE
espace 521817,NOUN,HAS_EXAMPLE
argent 508205,NOUN
retour 512637,NOUN,HAS_EXAMPLE
bouche 494640,NOUN
lettre 491306,NOUN
accord 488627,NOUN
valeur 482520,NOUN
auteur 474962,NOUN
projet 474149,NOUN
vérité 468496,NOUN
centre 464681,NOUN
sortir 445832,NOUN,HAS_EXAMPLE
marché 445214,NOUN,HAS_EXAMPLE
langue 446515,NOUN,HAS_EXAMPLE
penser 443085,VERB,HAS_EXAMPLE
petits 444096,ADJECTIVE
propos 430896,NOUN
soleil 432420,NOUN,HAS_EXAMPLE
croire 422561,VERB,HAS_EXAMPLE
droits 426489,ADJECTIVE
rester 419848,VERB,HAS_EXAMPLE
gauche 418560,ADJECTIVE,HAS_EXAMPLE
laisse 415761,NOUN
droite 407201,ADJECTIVE
bureau 399442,NOUN
maître 398965,NOUN
pensée 389815,NOUN,HAS_EXAMPLE
départ 382650,NOUN
autour 361839,ADVERB
peuple 354789,NOUN,HAS_EXAMPLE
longue 356208,ADJECTIVE
trouvé 347558,ADJECTIVE
parole 343445,NOUN,HAS_EXAMPLE
colère 332699,NOUN,HAS_EXAMPLE
dessus 328268,ADVERB,HAS_EXAMPLE
social 327670,ADJECTIVE,HAS_EXAMPLE
voyage 325080,NOUN
région 322611,NOUN
ancien 319596,ADJECTIVE,HAS_EXAMPLE
chance 315705,NOUN,HAS_EXAMPLE
jeunes 316830,ADJECTIVE
entrer 310998,VERB,HAS_EXAMPLE
modèle 307105,NOUN
visite 313038,NOUN
police 307128,NOUN,HAS_EXAMPLE
pleine 307415,ADJECTIVE
éviter 305958,VERB
figure 303087,NOUN,HAS_EXAMPLE
tomber 302176,VERB,HAS_EXAMPLE
perdre 300264,VERB,HAS_EXAMPLE
taille 295764,NOUN
unique 294470,ADJECTIVE
moyens 299223,ADJECTIVE
moitié 292448,NOUN
charge 288719,NOUN,HAS_EXAMPLE
public 289550,ADJECTIVE,HAS_EXAMPLE
risque 287883,NOUN,HAS_EXAMPLE
humain 286102,ADJECTIVE,HAS_EXAMPLE
pauvre 285401,ADJECTIVE,HAS_EXAMPLE
seront 283856,VERB
classe 284190,NOUN
garçon 280571,NOUN,HAS_EXAMPLE
succès 277436,NOUN,HAS_EXAMPLE
équipe 277268,NOUN
commun 274350,ADJECTIVE,HAS_EXAMPLE
second 274489,ADJECTIVE,HAS_EXAMPLE
avenir 272624,NOUN
régime 262982,NOUN,HAS_EXAMPLE
facile 261140,ADJECTIVE,HAS_EXAMPLE
entrée 259478,NOUN
porter 254521,NOUN
dehors 252667,ADVERB,HAS_EXAMPLE
manger 250862,NOUN,HAS_EXAMPLE
vision 252258,NOUN
jardin 250800,NOUN
double 250314,ADJECTIVE,HAS_EXAMPLE
pierre 243583,NOUN,HAS_EXAMPLE
sentir 240337,VERB,HAS_EXAMPLE
demain 240126,ADVERB,HAS_EXAMPLE
montre 244104,NOUN
proche 240033,ADJECTIVE,HAS_EXAMPLE
écrire 239937,VERB,HAS_EXAMPLE
emploi 239197,NOUN,HAS_EXAMPLE
papier 238989,NOUN
soirée 237371,NOUN
garder 236463,VERB,HAS_EXAMPLE
source 235113,NOUN
faible 234257,ADJECTIVE,HAS_EXAMPLE
servir 230796,VERB,HAS_EXAMPLE
ventre 225075,NOUN
mourir 223776,VERB,HAS_EXAMPLE
espoir 220899,NOUN
cheval 219739,NOUN
beauté 218333,NOUN,HAS_EXAMPLE
prince 209527,NOUN
preuve 209610,NOUN
rapide 207825,ADJECTIVE
bonnes 205387,ADJECTIVE
phrase 204649,NOUN
permis 202616,NOUN
appris 201604,ADJECTIVE
danger 201030,NOUN
sortie 199248,NOUN
combat 199407,NOUN
notion 198463,NOUN
saison 195790,NOUN,HAS_EXAMPLE
secret 195777,ADJECTIVE,HAS_EXAMPLE
morale 195640,ADJECTIVE
ouvrir 195474,VERB,HAS_EXAMPLE
devant 194766,ADVERB,HAS_EXAMPLE
sombre 191022,ADJECTIVE,HAS_EXAMPLE
veille 190892,NOUN,HAS_EXAMPLE
erreur 192154,NOUN,HAS_EXAMPLE
madame 188352,NOUN,HAS_EXAMPLE
hasard 185338,NOUN
marche 183873,NOUN
monter 183723,VERB,HAS_EXAMPLE
entier 183297,ADJECTIVE,HAS_EXAMPLE
effort 181689,NOUN,HAS_EXAMPLE
ouvert 181254,ADJECTIVE
numéro 180342,NOUN,HAS_EXAMPLE
réseau 178242,NOUN
statut 179143,NOUN
voyant 176096,ADJECTIVE
manque 175497,NOUN,HAS_EXAMPLE
faveur 174904,NOUN
telles 173180,ADJECTIVE
membre 172643,NOUN,HAS_EXAMPLE
palais 172120,NOUN
prison 172002,NOUN
presse 173033,NOUN,HAS_EXAMPLE
rythme 170012,NOUN
dormir 168828,VERB,HAS_EXAMPLE
couple 168088,NOUN,HAS_EXAMPLE
oublié 167461,ADJECTIVE
espèce 163879,NOUN
gagner 163378,VERB,HAS_EXAMPLE
triste 163081,ADJECTIVE
procès 162957,NOUN
métier 161411,NOUN
défaut 160320,NOUN
belles 152016,ADJECTIVE
devoir 149963,NOUN,HAS_EXAMPLE
séjour 149734,NOUN
certes 150152,ADVERB
chargé 146881,ADJECTIVE
volume 146768,NOUN
civile 145554,ADJECTIVE
francs 145298,ADJECTIVE
énorme 144285,ADJECTIVE
aspect 144237,NOUN
donnée 143515,NOUN
précis 143026,ADJECTIVE
sauver 142080,VERB,HAS_EXAMPLE
tenter 142230,VERB,HAS_EXAMPLE
baiser 142027,NOUN
épaule 141644,NOUN
cinéma 141220,NOUN,HAS_EXAMPLE
profit 140671,NOUN,HAS_EXAMPLE
client 139890,NOUN,HAS_EXAMPLE
samedi 139450,NOUN
serais 138513,VERB
courir 136939,VERB,HAS_EXAMPLE
chaise 136832,NOUN
touche 136427,NOUN
course 136413,NOUN
cacher 135284,ADJECTIVE
nouvel 134365,ADJECTIVE,HAS_EXAMPLE
marque 134290,NOUN
examen 133428,NOUN,HAS_EXAMPLE
détail 130908,NOUN
chasse 129544,NOUN,HAS_EXAMPLE
menace 129263,NOUN
normal 128739,ADJECTIVE
partis 128488,VERB
sommet 128236,NOUN,HAS_EXAMPLE
relève 128345,NOUN
pointe 127281,NOUN
humeur 127143,NOUN
patron 126268,NOUN,HAS_EXAMPLE
bateau 126085,ADJECTIVE
avocat 126080,NOUN
gloire 125368,NOUN,HAS_EXAMPLE
debout 125119,ADVERB
envoyé 125102,NOUN
saisir 124857,VERB
chaîne 124337,NOUN,HAS_EXAMPLE
arrêté 123844,ADJECTIVE
malade 123756,ADJECTIVE,HAS_EXAMPLE
totale 124132,ADJECTIVE
offrir 122417,VERB,HAS_EXAMPLE
charme 122023,NOUN,HAS_EXAMPLE
minute 119717,NOUN
réelle 119399,ADJECTIVE
viande 119355,NOUN
destin 119141,NOUN
animal 118516,ADJECTIVE
portée 117512,NOUN,HAS_EXAMPLE
impact 117072,NOUN
ennemi 116473,ADJECTIVE,HAS_EXAMPLE
contre 116173,NOUN
amitié 116130,NOUN
grosse 114262,ADJECTIVE
revoir 113626,VERB
change 113818,NOUN,HAS_EXAMPLE
divers 112266,ADJECTIVE
