encore 3291215,ADVERB,HAS_EXAMPLE
jamais 2231658,ADVERB,HAS_EXAMPLE
moment 1634728,NOUN,HAS_EXAMPLE
autres 1886756,ADJECTIVE
toutes 1394831,ADVERB
partie 1231969,NOUN,HAS_EXAMPLE
hommes 1241567,NOUN,PLURAL
grande 1205440,ADJECTIVE
années 1192215,NOUN,PLURAL
regard 1193304,NOUN,HAS_EXAMPLE
serait 1133390,VERB,3PS,INFLECTED_FORM
maison 1131135,ADJECTIVE,HAS_EXAMPLE
petite 1086196,ADJECTIVE
aurait 1078208,VERB,3PS,INFLECTED_FORM
besoin 1062854,NOUN
raison 1013821,NOUN
heures 957422,NOUN,PLURAL
choses 940062,NOUN,PLURAL
partir 905947,VERB,HAS_EXAMPLE
esprit 901804,NOUN
autant 886741,ADVERB,HAS_EXAMPLE
savoir 885960,NOUN
parler 880154,NOUN
siècle 859762,NOUN,HAS_EXAMPLE
visage 864146,NOUN
mettre 852338,VERB
femmes 823618,NOUN,PLURAL
enfant 821172,NOUN,HAS_EXAMPLE
passer 779142,VERB,HAS_EXAMPLE
trouve 755852,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
compte 751452,NOUN
plutôt 737225,ADVERB,HAS_EXAMPLE
nombre 734836,NOUN
donner 723315,VERB
nature 709485,ADJECTIVE,HAS_EXAMPLE
guerre 696475,NOUN,HAS_EXAMPLE
semble 682353,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
propre 682222,ADJECTIVE,HAS_EXAMPLE
sommes 667920,NOUN,PLURAL
milieu 637356,NOUN
devait 635118,VERB,3PS,INFLECTED_FORM
rendre 605185,VERB,HAS_EXAMPLE
époque 600590,ADJECTIVE
simple 591503,ADJECTIVE,HAS_EXAMPLE
groupe 566356,NOUN
permet 581051,VERB,3PS,INFLECTED_FORM
action 560701,NOUN,HAS_EXAMPLE
grands 560598,ADJECTIVE
mesure 555022,NOUN
allait 540967,VERB,3PS,INFLECTED_FORM
niveau 537818,NOUN,HAS_EXAMPLE
chemin 527633,NOUN,HAS_EXAMPLE
espace 521817,NOUN,HAS_EXAMPLE
argent 508205,NOUN
tandis 508033,PREPOSITION
retour 512637,NOUN,HAS_EXAMPLE
bouche 494640,NOUN
lettre 491306,NOUN
accord 488627,NOUN
valeur 482520,NOUN
auteur 474962,NOUN
projet 474149,NOUN
vérité 468496,NOUN
centre 464681,NOUN
venait 467810,VERB,3PS,INFLECTED_FORM
savait 456881,VERB,3PS,INFLECTED_FORM
sortir 445832,NOUN,HAS_EXAMPLE
marché 445214,NOUN,HAS_EXAMPLE
langue 446515,NOUN,HAS_EXAMPLE
penser 443085,VERB,HAS_EXAMPLE
lèvres 443834,NOUN,PLURAL
petits 444096,ADJECTIVE
propos 430896,NOUN
soleil 432420,NOUN,HAS_EXAMPLE
croire 422561,VERB,HAS_EXAMPLE
droits 426489,ADJECTIVE
rester 419848,VERB,HAS_EXAMPLE
gauche 418560,ADJECTIVE,HAS_EXAMPLE
laisse 415761,NOUN
droite 407201,ADJECTIVE
bureau 399442,NOUN
maître 398965,NOUN
pensée 389815,NOUN,HAS_EXAMPLE
départ 382650,NOUN
disait 367255,VERB,3PS,INFLECTED_FORM
autour 361839,ADVERB
doigts 365829,NOUN,PLURAL
puisse 359658,VERB,3PS,INFLECTED_FORM,SUBJ
peuple 354789,NOUN,HAS_EXAMPLE
longue 356208,ADJECTIVE
trouvé 347558,ADJECTIVE
furent 341765,VERB
parole 343445,INTERJECTION
soient 334616,VERB,INFLECTED_FORM,SUBJ
livres 333388,NOUN,PLURAL
colère 332699,NOUN,HAS_EXAMPLE
dessus 328268,ADVERB,HAS_EXAMPLE
social 327670,ADJECTIVE,HAS_EXAMPLE
filles 327838,NOUN,PLURAL
voyage 325080,NOUN
région 322611,NOUN
ancien 319596,ADJECTIVE,HAS_EXAMPLE
chance 315705,NOUN,HAS_EXAMPLE
jeunes 316830,ADJECTIVE
suivre 312438,VERB,HAS_EXAMPLE
entrer 310998,VERB,HAS_EXAMPLE
modèle 307105,NOUN
visite 313038,NOUN
police 307128,NOUN,HAS_EXAMPLE
pleine 307415,ADJECTIVE
éviter 305958,VERB
existe 305199,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
termes 303226,NOUN,PLURAL
règles 302955,NOUN,PLURAL
figure 303087,NOUN,HAS_EXAMPLE
formes 302833,NOUN,PLURAL
tomber 302176,VERB,HAS_EXAMPLE
pouvez 301161,VERB
perdre 300264,VERB,HAS_EXAMPLE
larmes 300364,NOUN,PLURAL
études 299151,NOUN,PLURAL
taille 295764,NOUN
unique 294470,ADJECTIVE
moyens 299223,ADJECTIVE
moitié 292448,NOUN
faites 292404,PARTICIPLE
arrive 291857,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
charge 288719,NOUN,HAS_EXAMPLE
public 289550,ADJECTIVE,HAS_EXAMPLE
risque 287883,NOUN,HAS_EXAMPLE
humain 286102,ADJECTIVE,HAS_EXAMPLE
pauvre 285401,ADJECTIVE,HAS_EXAMPLE
seront 283856,VERB
quatre 283867,NUMERAL
classe 284190,NOUN
garçon 280571,NOUN,HAS_EXAMPLE
succès 277436,NOUN,HAS_EXAMPLE
équipe 277268,NOUN
forces 275469,NOUN,PLURAL
points 275361,NOUN,PLURAL
commun 274350,ADJECTIVE,HAS_EXAMPLE
second 274489,ADJECTIVE,HAS_EXAMPLE
avenir 272624,NOUN
devenu 268024,PARTICIPLE
jambes 265016,NOUN,PLURAL
régime 262982,NOUN,HAS_EXAMPLE
tenait 264557,VERB,3PS,INFLECTED_FORM
facile 261140,ADJECTIVE,HAS_EXAMPLE
entrée 259478,NOUN
arrivé 259499,PARTICIPLE
porter 254521,NOUN
paraît 254722,VERB,3PS,INFLECTED_FORM
laissé 254642,PARTICIPLE
objets 252947,NOUN,PLURAL
reprit 253150,VERB,3PS,INFLECTED_FORM
dehors 252667,ADVERB,HAS_EXAMPLE
manger 250862,NOUN,HAS_EXAMPLE
vision 252258,NOUN
jardin 250800,NOUN
double 250314,ADJECTIVE,HAS_EXAMPLE
pierre 243583,NOUN,HAS_EXAMPLE
effets 246627,NOUN,PLURAL
pièces 245499,NOUN,PLURAL
sentir 240337,VERB,HAS_EXAMPLE
demain 240126,ADVERB,HAS_EXAMPLE
montre 244104,NOUN
proche 240033,ADJECTIVE,HAS_EXAMPLE
écrire 239937,VERB,HAS_EXAMPLE
emploi 239197,NOUN,HAS_EXAMPLE
papier 238989,NOUN
voulez 237678,VERB,HAS_EXAMPLE
soirée 237371,NOUN
garder 236463,VERB,HAS_EXAMPLE
décidé 236229,PARTICIPLE
source 235113,NOUN
faible 234257,ADJECTIVE,HAS_EXAMPLE
servir 230796,VERB,HAS_EXAMPLE
mètres 228500,NOUN,PLURAL
images 227812,NOUN,PLURAL
savais 226720,VERB
sourit 225314,VERB,3PS,FORM_OF,INFLECTED_FORM
ventre 225075,NOUN
mourir 223776,VERB,HAS_EXAMPLE
espoir 220899,NOUN
répond 221074,VERB,3PS,INFLECTED_FORM
cheval 219739,NOUN
élèves 219583,NOUN,PLURAL
beauté 218333,NOUN,HAS_EXAMPLE
voyait 216787,VERB,3PS,INFLECTED_FORM
prince 209527,NOUN
textes 209137,NOUN,PLURAL
réussi 209340,PARTICIPLE
preuve 209610,NOUN
villes 208562,NOUN,PLURAL
pourra 208966,VERB,3PS,INFLECTED_FORM
rapide 207825,ADJECTIVE
bonnes 205387,ADJECTIVE
phrase 204649,NOUN
allons 203602,VERB,FORM_OF,IMP,INFLECTED_FORM
titres 203790,NOUN,PLURAL
permis 202616,NOUN
appris 201604,ADJECTIVE
danger 201030,NOUN
sortie 199248,NOUN
combat 199407,NOUN
notion 198463,NOUN
portes 200501,NOUN,PLURAL
arbres 197793,NOUN,PLURAL
saison 195790,NOUN,HAS_EXAMPLE
secret 195777,ADJECTIVE,HAS_EXAMPLE
morale 195640,ADJECTIVE
ouvrir 195474,VERB,HAS_EXAMPLE
devant 194766,ADVERB,HAS_EXAMPLE
suffit 193284,VERB,3PS,FORM_OF,INFLECTED_FORM
sombre 191022,ADJECTIVE,HAS_EXAMPLE
veille 190892,NOUN,HAS_EXAMPLE
erreur 192154,NOUN,HAS_EXAMPLE
tourna 190218,VERB,3PS,INFLECTED_FORM
madame 188352,NOUN,HAS_EXAMPLE
sentit 189890,VERB,3PS,INFLECTED_FORM
frères 188132,NOUN,PLURAL
fleurs 187106,NOUN,PLURAL
