étaient 1626743,VERB
travail 1314733,NOUN,HAS_EXAMPLE
avaient 1280897,VERB
prendre 1226127,VERB,HAS_EXAMPLE
premier 1180392,ADJECTIVE,HAS_EXAMPLE
souvent 1129704,ADVERB,HAS_EXAMPLE
enfants 1092026,NOUN,PLURAL
exemple 958552,NOUN
pouvait 986365,VERB,3PS,INFLECTED_FORM
nouveau 913003,ADJECTIVE
famille 926431,NOUN
manière 866176,ADVERB,HAS_EXAMPLE
comment 840682,ADVERB,HAS_EXAMPLE
surtout 832001,ADVERB
peuvent 838394,VERB
presque 796736,ADVERB
faisait 779027,VERB,3PS,INFLECTED_FORM
dernier 762236,ADJECTIVE,HAS_EXAMPLE
chambre 756268,NOUN
société 696666,NOUN
trouver 692549,VERB,HAS_EXAMPLE
pouvoir 664358,NOUN,HAS_EXAMPLE
sourire 654946,NOUN
parfois 645825,ADVERB
rapport 641893,NOUN,HAS_EXAMPLE
article 623693,NOUN
parents 616688,NOUN,PLURAL
laisser 586073,VERB,HAS_EXAMPLE
travers 584634,NOUN
demanda 563744,VERB,3PS,INFLECTED_FORM
système 556221,NOUN,HAS_EXAMPLE
service 538817,INTERJECTION
minutes 536009,NOUN,PLURAL
voulait 528002,VERB,3PS,INFLECTED_FORM
réalité 528832,NOUN,HAS_EXAMPLE
ensuite 517051,ADVERB
silence 512599,NOUN
lumière 509332,NOUN
demande 505494,NOUN,HAS_EXAMPLE
voiture 493340,NOUN,HAS_EXAMPLE
cheveux 482433,NOUN,PLURAL
compris 470276,ADJECTIVE,HAS_EXAMPLE
instant 463700,ADJECTIVE
intérêt 465944,NOUN,HAS_EXAMPLE
journée 448249,NOUN
certain 441833,ADJECTIVE,HAS_EXAMPLE
réponse 442501,NOUN,HAS_EXAMPLE
liberté 436445,NOUN,HAS_EXAMPLE
affaire 436507,NOUN,HAS_EXAMPLE
fallait 418213,VERB,3PS,INFLECTED_FORM
faisant 415666,PARTICIPLE
origine 410853,NOUN,HAS_EXAMPLE
sociale 418666,ADJECTIVE
entendu 409339,ADJECTIVE
matière 410862,NOUN,HAS_EXAMPLE
grandes 408193,ADJECTIVE
passage 388518,NOUN
doivent 387851,VERB
plupart 388042,NOUN,HAS_EXAMPLE
membres 387411,NOUN,PLURAL
endroit 381928,NOUN,HAS_EXAMPLE
qualité 378571,NOUN,HAS_EXAMPLE
cuisine 367340,NOUN,HAS_EXAMPLE
période 365767,NOUN
énergie 353963,NOUN,HAS_EXAMPLE
mémoire 344239,NOUN
devient 347762,VERB,3PS,INFLECTED_FORM
volonté 340686,NOUN,HAS_EXAMPLE
demandé 337371,ADJECTIVE
musique 336928,NOUN
seconde 335589,ADJECTIVE
justice 336580,NOUN
village 335731,NOUN
moindre 328274,ADJECTIVE,HAS_EXAMPLE
juillet 328714,NOUN
général 326331,ADJECTIVE
bonheur 328031,NOUN,HAS_EXAMPLE
propres 325093,ADJECTIVE
semaine 323555,NOUN,HAS_EXAMPLE
mariage 323197,NOUN,HAS_EXAMPLE
domaine 322667,NOUN,HAS_EXAMPLE
ouvrage 316401,NOUN
culture 315321,NOUN
petites 315205,ADJECTIVE
douleur 311028,NOUN
regarde 309948,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
présent 309414,ADJECTIVE,HAS_EXAMPLE
travaux 308637,NOUN,PLURAL
données 305514,NOUN
absence 306973,NOUN
parties 303660,NOUN,PLURAL
bientôt 299350,ADVERB
épaules 299298,NOUN,PLURAL
devenir 299127,NOUN
heureux 292510,ADJECTIVE
lettres 290503,NOUN,PLURAL
contrat 289894,NOUN
arriver 286537,VERB,HAS_EXAMPLE,INF,INFLECTED_FORM,SUBJ
environ 285494,ADVERB,HAS_EXAMPLE
janvier 283052,NOUN,HAS_EXAMPLE
paroles 282357,NOUN,PLURAL
montrer 283934,VERB,HAS_EXAMPLE
plaisir 276363,NOUN,HAS_EXAMPLE
voulais 275907,VERB
capable 275063,ADJECTIVE
partout 274976,ADVERB,HAS_EXAMPLE
humaine 272204,ADJECTIVE
